"Domain,""Name"",""DisplayName"",""EmailAddress"""
"ynovDomain.com,""Administrator"",,"
"ynovDomain.com,""Guest"",,"
"ynovDomain.com,""krbtgt"",,"
"ynovDomain.com,""user1"",""Utilisateur 1 - ServiceSalle (Nice-Sophia)"","
"ynovDomain.com,""user2"",""Utilisateur 2 - ServiceSalle (Bordeaux)"","
"ynovDomain.com,""user3"",""Utilisateur 3 - ServiceSecurite (Montpellier)"","
"ynovDomain.com,""user4"",""Utilisateur 4 - ServiceSecurite (Strasbourg)"","
"ynovDomain.com,""user5"",""Utilisateur 5 - Comptabilite (Lyon)"","
"ynovDomain.com,""user6"",""Utilisateur 6 - Comptabilite (Toulouse)"","
"ynovDomain.com,""user7"",""Utilisateur 7 - Communication (Aix-en-Provence)"","
"ynovDomain.com,""user8"",""Utilisateur 8 - Communication (Nice-Sophia)"","
"ynovDomain.com,""user9"",""Utilisateur 9 - Direction (Paris)"","
"ynovDomain.com,""user10"",""Utilisateur 10 - ServiceEnseignant (Casablanca)"","
"ynovDomain.com,""user11"",""Utilisateur 11 - ServiceEnseignant (Lille)"","
"ynovDomain.com,""user12"",""Utilisateur 12 - Commercial (Toulouse)"","
"ynovDomain.com,""user13"",""Utilisateur 13 - Commercial (Nantes)"","
"ynovDomain.com,""user14"",""Utilisateur 14 - Commercial (Lyon)"","
"ynovDomain.com,""user15"",""Utilisateur 15 - ServiceSocial (Lille)"","
"ynovDomain.com,""user16"",""Utilisateur 16 - ServiceSocial (Nice-Sophia)"","
"ynovDomain.com,""user17"",""Utilisateur 17 - Refectoire (Paris-Ouest)"","
"ynovDomain.com,""user18"",""Utilisateur 18 - Refectoire (Strasbourg)"","
"ynovDomain.com,""user19"",""Utilisateur 19 - Technique (Nantes)"","
"ynovDomain.com,""user20"",""Utilisateur 20 - Technique (Lyon)"","
"ynovDomain.com,""g_user1 u1. g_user1"",""g_user1 u1. g_user1"","
"ynovDomain.com,""g_user2 u2. g_user2"",""g_user2 u2. g_user2"","
"ynovDomain.com,""g_user3 u3. g_user3"",""g_user3 u3. g_user3"","
"ynovDomain.com,""g_user4 u4. g_user4"",""g_user4 u4. g_user4"","
"ynovDomain.com,""g_user5 u5. g_user5"",""g_user5 u5. g_user5"","
"ynovDomain.com,""g_user6 u6. g_user6"",""g_user6 u6. g_user6"","
"ynovDomain.com,""g_user7 u7. g_user7"",""g_user7 u7. g_user7"","
"ynovDomain.com,""g_user8 u8. g_user8"",""g_user8 u8. g_user8"","
"ynovDomain.com,""g_user9 u9. g_user9"",""g_user9 u9. g_user9"","
"ynovDomain.com,""g_user10 u10. g_user10"",""g_user10 u10. g_user10"","
"ynovDomain.com,""g_user11 u11. g_user11"",""g_user11 u11. g_user11"","
"ynovDomain.com,""g_user12 u12. g_user12"",""g_user12 u12. g_user12"","
